0,1,2,3,4,5,6
5,"Bandeja expediente. Especificações técnicas: bandeja expediente, material acrílico, cor fumê, comprimento 390mm, largura 285mm, altura 90mm, triple; suporte de ferro.",440596,UN,633,"R$ 65,00","R$ 41.145,00"
6,"Barbante algodão. Especificações técnicas: barbante algodão, quantidade fios 8, acabamento superficial cru, cor branca, rolo com 300m.",435053,RL,536,"R$ 18,00","R$ 9.648,00"
7,Bloco autoadesivo tipo Post-it 38x50mm 3M sortido com 50fls. Pacote com 4 unidades.,479101,PC,1840,"R$ 16,90","R$ 31.096,00"
8,Bloco autoadesivo tipo Post-it 38x50mm 3M sortido com 100fls. Pacote com 4 unidades.,447930,PC,2090,"R$ 18,95","R$ 39.605,50"
9,Bloco autoadesivo tipo Post-it 76x76mm 3M cor variada com 100fls. Pacote com 1 unidade.,412152,PC,2110,"R$ 18,95","R$ 39.984,50"
10,Bloco autoadesivo tipo Post-it 76x102mm 3M amarelo com 100fls. Pacote com 1 unidade.,447926,PC,1810,"R$ 14,40","R$ 26.064,00"
11,Bobina calculadora 57mmx30m. Unidade.,434900,UN,404,"R$ 4,99","R$ 2.015,96"
12,"Borracha apagadora escrita. Especificações técnicas: borracha apagadora de escrita, material borracha, comprimento 56mm, largura 33mm, altura 11mm, cor branca, características adicionais capa plástica protetora. Embalagem: caixa com 24 unidades.",450795,CX,802,"R$ 28,90","R$ 23.177,80"
13,"Caixa arquivo. Especificações técnicas: caixa arquivo, material plástico corrugado flexível, dimensões 130x250x350mm, cor azul, aplicação arquivamento de documentos, tipo caixa arquivo morto.",468082,UN,3490,"R$ 9,68","R$ 33.783,20"
14,"Caderno anotações 13x21cm sem pauta 80 fls, Capa Dura Costurado, cor preto. Unidade.",462543,UN,1140,"R$ 40,30","R$ 45.942,00"
15,Calculadora de mesa (bat/solar/8 dígitos) preto. Embalagem: caixa com 1 unidade.,243826,UN,280,"R$ 31,40","R$ 8.792,00"
